OKRES	TYPZASTUP	DRUHZASTUP	KODZASTUP	NAZEVZAST	OBVODY	COBVODU	MANDATY	POCOBYV	key
6207	1	2	593711	Znojmo	0	1	31	35032	znojmo
6207	1	2	594482	Moravský Krumlov	0	1	21	6021	moravsky-krumlov
6207	1	2	594156	Hrušovany nad Jevišovkou	0	1	15	3211	hrusovany-nad-jevisovkou
6207	1	2	594458	Miroslav	0	1	15	2991	miroslav
6207	1	1	546941	Dobšice	0	1	15	2422	dobsice
6207	1	1	594067	Hodonice	0	1	11	1779	hodonice
6207	1	1	594113	Hostěradice	0	1	9	1471	hosteradice
6207	1	1	593826	Božice	0	1	15	1462	bozice
6207	1	1	594032	Hevlín	0	1	11	1347	hevlin
6207	1	1	594873	Šanov	0	1	15	1286	sanov
6207	1	1	594199	Jaroslavice	0	1	13	1251	jaroslavice
6207	1	1	593770	Blížkovice	0	1	9	1240	blizkovice
6207	1	1	594920	Tasovice	0	1	11	1237	tasovice
6207	1	1	594881	Šatov	0	1	9	1184	satov
6207	1	1	595071	Višňové	0	1	11	1139	visnove
6207	1	1	594202	Jevišovice	0	1	9	1129	jevisovice
6207	1	1	595021	Únanov	0	1	15	1121	unanov
6207	1	1	595128	Vrbovec	0	1	11	1107	vrbovec
6207	1	1	555231	Suchohrdly	0	1	15	1069	suchohrdly
6207	1	1	594563	Olbramovice	0	1	9	1059	olbramovice
6207	1	1	587729	Nový Šaldorf-Sedlešovice	0	1	7	1019	novy-saldorf-sedlesovice
6207	1	1	594822	Strachotice	0	1	9	990	strachotice
6207	1	1	594300	Kuchařovice	0	1	15	941	kucharovice
6207	1	1	593842	Břežany	0	1	9	932	brezany
6207	1	1	594148	Hrádek	0	1	11	921	hradek
6207	1	1	594130	Hrabětice	0	1	15	900	hrabetice
6207	1	1	595098	Vranov nad Dyjí	0	1	15	869	vranov-nad-dyji
6207	1	1	593974	Dyjákovice	0	1	15	844	dyjakovice
6207	1	1	595047	Vedrovice	0	1	11	826	vedrovice
6207	1	1	594679	Práče	0	1	9	800	prace
6207	1	1	594709	Prosiměřice	0	1	7	747	prosimerice
6207	1	1	594211	Jezeřany-Maršovice	0	1	11	740	jezerany-marsovice
6207	1	1	594041	Hluboké Mašůvky	0	1	9	706	hluboke-masuvky
6207	1	1	595055	Vémyslice	0	1	9	697	vemyslice
6207	1	1	594571	Oleksovice	0	1	9	691	oleksovice
6207	1	1	594890	Štítary	0	1	11	673	stitary
6207	1	1	594091	Horní Dunajovice	0	1	9	639	horni-dunajovice
6207	1	1	594962	Troskotovice	0	1	9	620	troskotovice
6207	1	1	593788	Bohutice	0	1	11	609	bohutice
6207	1	1	594938	Tavíkovice	0	1	9	608	tavikovice
6207	1	1	594431	Mikulovice	0	1	11	594	mikulovice
6207	1	1	594911	Šumná	0	1	9	591	sumna
6207	1	1	594971	Trstěnice	0	1	9	556	trstenice
6207	1	1	594768	Skalice	0	1	9	549	skalice
6207	1	1	594555	Olbramkostel	0	1	7	528	olbramkostel
6207	1	1	594261	Kravsko	0	1	7	514	kravsko
6207	1	1	593851	Citonice	0	1	7	513	citonice
6207	1	1	594369	Litobratřice	0	1	9	510	litobratrice
6207	1	1	593834	Branišovice	0	1	7	509	branisovice
6207	1	1	594601	Pavlice	0	1	9	499	pavlice
6207	1	1	594946	Těšetice	0	1	7	498	tesetice
6207	1	1	594270	Krhovice	0	1	9	494	krhovice
6207	1	1	593966	Dolní Dubňany	0	1	7	465	dolni-dubnany
6207	1	1	594172	Chvalovice	0	1	9	456	chvalovice
6207	1	1	594181	Jamolice	0	1	9	450	jamolice
